threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy
0,311,114,0,197,0,1,0,0.5
0.001,311,114,0,197,0,1,0,0.5
0.002,311,114,0,197,0,1,0,0.5
0.003,311,114,0,197,0,1,0,0.5
0.004,311,114,0,197,0,1,0,0.5
0.005,311,114,0,197,0,1,0,0.5
0.006,311,112,2,155,42,0.982456140350877,0.213197969543147,0.597827054947012
0.007,311,111,3,75,122,0.973684210526316,0.619289340101523,0.796486775313919
0.008,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.009,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.01,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.011,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.012,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.013,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.014,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.015,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.016,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.017,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.018,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.019,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.02,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.021,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.022,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.023,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.024,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.025,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.026,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.027,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.028,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.029,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.03,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.031,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.032,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.033,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.034,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.035,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.036,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.037,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.038,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.039,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.04,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.041,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.042,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.043,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.044,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.045,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.046,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.047,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.048,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.049,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.05,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.051,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.052,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.053,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.054,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.055,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.056,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.057,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.058,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.059,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.06,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.061,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.062,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.063,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.064,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.065,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.066,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.067,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.068,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.069,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.07,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.071,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.072,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.073,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.074,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.075,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.076,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.077,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.078,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.079,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.08,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.081,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.082,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.083,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.084,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.085,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.086,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.087,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.088,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.089,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.09,311,111,3,33,164,0.973684210526316,0.83248730964467,0.903085760085493
0.091,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.092,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.093,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.094,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.095,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.096,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.097,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.098,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.099,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.1,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.101,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.102,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.103,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.104,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.105,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.106,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.107,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.108,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.109,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.11,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.111,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.112,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.113,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.114,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.115,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.116,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.117,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.118,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.119,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.12,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.121,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.122,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.123,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.124,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.125,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.126,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.127,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.128,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.129,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.13,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.131,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.132,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.133,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.134,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.135,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.136,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.137,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.138,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.139,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
0.14,311,97,17,33,164,0.850877192982456,0.83248730964467,0.841682251313563
