model_name,feature_count,input_fraction_bits,coefficient_fraction_bits,accumulator_fraction_bits,decision_flips,danger_to_safe_flips,fixed_missed_danger,fixed_false_danger,max_logit_error,mean_logit_error,minimum_float_margin,minimum_fixed_margin,max_abs_accumulator,int64_headroom_bits
STRICT,48,4,14,18,0,0,0,4,0.0257796548802851,0.0144442363711482,0.0636574539142223,0.0813997852863291,3423165,40
STRICT,48,4,16,20,0,0,0,4,0.011875139396218,0.00288499886255092,0.0636574539142223,0.0620754826129892,13690520,38
STRICT,48,4,18,22,0,0,0,4,0.010514539800015,0.00274212492697934,0.0636574539142223,0.0619348156513193,54754256,36
STRICT,48,4,20,24,0,0,0,4,0.00912938746007974,0.0025943610549894,0.0636574539142223,0.0631704199375132,219042522,34
STRICT,48,4,22,26,0,0,0,4,0.00914042922052438,0.00258449484441703,0.0636574539142223,0.0631090271533945,876169882,32
STRICT,48,6,14,20,0,0,0,4,0.0215975762496132,0.0145083181817294,0.0636574539142223,0.0818136799396494,13683246,38
STRICT,48,6,16,22,0,0,0,4,0.00649032374257974,0.00113850341869518,0.0636574539142223,0.0624917614521006,54724427,36
STRICT,48,6,18,24,0,0,0,4,0.00377557036309639,0.00111587887878432,0.0636574539142223,0.0623510348857859,218866416,34
STRICT,48,6,20,26,0,0,0,4,0.00254784218552651,0.00061243928181132,0.0636574539142223,0.0635864752592066,875567647,32
STRICT,48,6,22,28,0,0,0,4,0.00254679080872933,0.000596528087520438,0.0636574539142223,0.0635251011015394,3502269762,30
STRICT,48,8,14,22,0,0,0,4,0.0208169751903426,0.0143596155173388,0.0636574539142223,0.0819967854083994,54737948,36
STRICT,48,8,16,24,0,0,0,4,0.00451812525625161,0.00113197980546431,0.0636574539142223,0.0626752245487192,218917551,34
STRICT,48,8,18,26,0,0,0,4,0.00251930842853021,0.00115975163628279,0.0636574539142223,0.0625342893661478,875545048,32
STRICT,48,8,20,28,0,0,0,4,0.000716457364662304,0.000176582660946298,0.0636574539142223,0.0637697297395685,3502588124,30
STRICT,48,8,22,30,0,0,0,4,0.000586083793340464,0.00014954359682551,0.0636574539142223,0.0637083537192562,14010349185,28
STRICT,48,10,14,24,0,0,0,4,0.0208011799594772,0.0144124988280554,0.0636574539142223,0.0820426809848764,218956496,34
STRICT,48,10,16,26,0,0,0,4,0.00442168494100503,0.0010872816271348,0.0636574539142223,0.0627212244333246,875689017,32
STRICT,48,10,18,28,0,0,0,4,0.00210686475690292,0.00110686953538712,0.0636574539142223,0.0625803078772047,3502255460,30
STRICT,48,10,20,30,0,0,0,4,0.000411218913543898,0.000133521013448343,0.0636574539142223,0.0638157435940125,14010653568,28
STRICT,48,10,22,32,0,0,0,4,0.000295293678279407,9.90236683737688e-05,0.0636574539142223,0.063754369669176,56042601029,26
COMPACT,32,4,14,18,0,0,0,7,0.0434284486866225,0.0228363549376788,0.00635320767926284,0.0265014275474725,2278044,40
COMPACT,32,4,16,20,1,0,0,6,0.0131182699217014,0.00597353470096782,0.00635320767926284,0.000451315982800904,9076671,38
COMPACT,32,4,18,22,0,0,0,7,0.00655753607413878,0.00165705280120029,0.00635320767926284,0.00595427598192078,36334397,36
COMPACT,32,4,20,24,0,0,0,7,0.00683958525321593,0.00169872748163913,0.00635320767926284,0.00573087777330261,145334596,34
COMPACT,32,4,22,26,0,0,0,7,0.00643768603465666,0.00167201494075787,0.00635320767926284,0.00630451287462097,581369880,32
COMPACT,32,6,14,20,0,0,0,7,0.0407810487842788,0.0230665228585208,0.00635320767926284,0.0265882119102655,9106222,38
COMPACT,32,6,16,22,1,0,0,6,0.0114923646813594,0.00573322103914105,0.00635320767926284,0.000366438968640748,36282870,36
COMPACT,32,6,18,24,0,0,0,7,0.00215081751020385,0.000490092493618801,0.00635320767926284,0.00603927220537048,145242331,34
COMPACT,32,6,20,26,0,0,0,7,0.00201898906696485,0.000508560087096016,0.00635320767926284,0.00581572498514038,580957340,32
COMPACT,32,6,22,28,0,0,0,7,0.00158041064012693,0.000372686922514822,0.00635320767926284,0.00638937871291023,2323955356,30
COMPACT,32,8,14,22,0,0,0,7,0.0395384111500015,0.0229646146316491,0.00635320767926284,0.0265579327507196,36427826,36
COMPACT,32,8,16,24,1,0,0,6,0.0116665682697068,0.00583515015638674,0.00635320767926284,0.000397016151410523,145143234,34
COMPACT,32,8,18,26,0,0,0,7,0.00094020594841604,0.000290345085027938,0.00635320767926284,0.00600869502260071,581016330,32
COMPACT,32,8,20,28,0,0,0,7,0.00100123097709748,0.000467187171497477,0.00635320767926284,0.0057851552529512,2324017385,30
COMPACT,32,8,22,30,0,0,0,7,0.000337166316429105,8.9675863537299e-05,0.00635320767926284,0.00635881270601135,9296573537,28
COMPACT,32,10,14,24,0,0,0,7,0.0395505108928909,0.0229988344056683,0.00635320767926284,0.0265621646804987,145713560,34
COMPACT,32,10,16,26,1,0,0,6,0.0116545430326234,0.00580099080154515,0.00635320767926284,0.000392828925115052,580581973,32
COMPACT,32,10,18,28,0,0,0,7,0.000874994741741464,0.000286232865060406,0.00635320767926284,0.00601287107302528,2324101455,30
COMPACT,32,10,20,30,0,0,0,7,0.000663240713752344,0.00043301180749034,0.00635320767926284,0.00578934247924667,9296214096,28
COMPACT,32,10,22,32,0,0,0,7,0.00010158614147926,3.07234928408022e-05,0.00635320767926284,0.00636300016513747,37186872358,26
