model_name,feature_index,feature_name,raw_coefficient,quantized_coefficient
STRICT,0,center_column_dark_min,0.0159834736052958,262
STRICT,1,grid_dark_r3_c1,-0.00550162842250077,-90
STRICT,2,left_edge_valid_percent,0.0068963817719771,113
STRICT,3,grid_dark_r1_c5,-0.00528910315133486,-87
STRICT,4,dark_left_edge,-0.00633750561117938,-104
STRICT,5,grid_dark_r1_c1,-0.00528209442470693,-87
STRICT,6,right_edge_valid_percent,0.00806407172562832,132
STRICT,7,row_dark_max,-0.00976197860830007,-160
STRICT,8,dark_right_edge,-0.00668428972289751,-110
STRICT,9,grid_dark_r3_c2,-0.00386564937965629,-63
STRICT,10,dark_left,-0.00549627367398922,-90
STRICT,11,column_dark_min,0.00347112866503501,57
STRICT,12,white_right_border_max,0.00646102888458057,106
STRICT,13,dark_bottom_half,-0.00916166666305894,-150
STRICT,14,longest_white_run_mean,0.00833167326677594,137
STRICT,15,grid_dark_r4_c1,-0.00596903424011161,-98
STRICT,16,grid_dark_r2_c3,-0.00264128571001901,-43
STRICT,17,grid_dark_r1_c4,-0.00459110728335636,-75
STRICT,18,dark_all,-0.00758499082142837,-124
STRICT,19,dark_right,-0.00680287283987447,-111
STRICT,20,center_row_dark_max,-0.00704159678402852,-115
STRICT,21,white_top_border_mean,0.00617844691333234,101
STRICT,22,white_right_border_mean,0.0081081031912892,133
STRICT,23,row_transition_max,-0.0293887133944523,-482
COMPACT,0,center_column_dark_min,0.0159834736052958,262
COMPACT,1,grid_dark_r3_c1,-0.00550162842250077,-90
COMPACT,2,left_edge_valid_percent,0.0068963817719771,113
COMPACT,3,grid_dark_r1_c5,-0.00528910315133486,-87
COMPACT,4,dark_left_edge,-0.00633750561117938,-104
COMPACT,5,grid_dark_r1_c1,-0.00528209442470693,-87
COMPACT,6,right_edge_valid_percent,0.00806407172562832,132
COMPACT,7,row_dark_max,-0.00976197860830007,-160
COMPACT,8,dark_right_edge,-0.00668428972289751,-110
COMPACT,9,grid_dark_r3_c2,-0.00386564937965629,-63
COMPACT,10,dark_left,-0.00549627367398922,-90
COMPACT,11,column_dark_min,0.00347112866503501,57
COMPACT,12,white_right_border_max,0.00646102888458057,106
COMPACT,13,dark_bottom_half,-0.00916166666305894,-150
COMPACT,14,longest_white_run_mean,0.00833167326677594,137
COMPACT,15,grid_dark_r4_c1,-0.00596903424011161,-98
COMPACT,16,grid_dark_r2_c3,-0.00264128571001901,-43
COMPACT,17,grid_dark_r1_c4,-0.00459110728335636,-75
COMPACT,18,dark_all,-0.00758499082142837,-124
COMPACT,19,dark_right,-0.00680287283987447,-111
COMPACT,20,center_row_dark_max,-0.00704159678402852,-115
COMPACT,21,white_top_border_mean,0.00617844691333234,101
COMPACT,22,white_right_border_mean,0.0081081031912892,133
COMPACT,23,row_transition_max,-0.0293887133944523,-482
