name,include_motion,interactions,alpha,lambda_ratio,safe_permission_threshold,evaluated_count,true_danger,missed_danger,false_danger,true_safe,danger_recall,safe_recall,balanced_accuracy,active_coefficient_count,total_coefficient_count
IMAGE_RIDGE_0.03,0,0,0,0.03,0.213,311,114,0,13,184,1,0.934010152284264,0.967005076142132,86,86
IMAGE_RIDGE_0.10,0,0,0,0.1,0.248,311,114,0,14,183,1,0.928934010152284,0.964467005076142,86,86
IMAGE_RIDGE_0.30,0,0,0,0.3,0.262,311,114,0,20,177,1,0.898477157360406,0.949238578680203,86,86
MOTION_RIDGE_0.03,1,0,0,0.03,0.197,311,114,0,13,184,1,0.934010152284264,0.967005076142132,91,91
MOTION_RIDGE_0.10,1,0,0,0.1,0.234,311,114,0,14,183,1,0.928934010152284,0.964467005076142,91,91
MOTION_RIDGE_0.30,1,0,0,0.3,0.256,311,114,0,20,177,1,0.898477157360406,0.949238578680203,91,91
IMAGE_ELASTIC_0.03,0,0,0.8,0.03,0.143,311,114,0,28,169,1,0.857868020304569,0.928934010152284,21,86
IMAGE_ELASTIC_0.10,0,0,0.8,0.1,0.239,311,114,0,32,165,1,0.83756345177665,0.918781725888325,18,86
IMAGE_ELASTIC_0.30,0,0,0.8,0.3,0.358,311,114,0,29,168,1,0.852791878172589,0.926395939086294,12,86
MOTION_ELASTIC_0.03,1,0,0.8,0.03,0.143,311,114,0,28,169,1,0.857868020304569,0.928934010152284,21,91
MOTION_ELASTIC_0.10,1,0,0.8,0.1,0.239,311,114,0,32,165,1,0.83756345177665,0.918781725888325,18,91
MOTION_ELASTIC_0.30,1,0,0.8,0.3,0.358,311,114,0,29,168,1,0.852791878172589,0.926395939086294,12,91
INTERACTION_ELASTIC_0.01,1,1,0.8,0.01,0.043,311,114,0,41,156,1,0.791878172588833,0.895939086294416,34,521
INTERACTION_ELASTIC_0.03,1,1,0.8,0.03,0.147,311,114,0,28,169,1,0.857868020304569,0.928934010152284,23,521
INTERACTION_ELASTIC_0.10,1,1,0.8,0.1,0.239,311,114,0,32,165,1,0.83756345177665,0.918781725888325,18,521
INTERACTION_ELASTIC_0.30,1,1,0.8,0.3,0.358,311,114,0,29,168,1,0.852791878172589,0.926395939086294,12,521
