feature_count,pooled_lambda_ratio,pooled_safe_permission_threshold,pooled_missed_danger,pooled_false_danger,nested_evaluated_count,nested_true_danger,nested_missed_danger,nested_false_danger,nested_true_safe,nested_danger_recall,nested_safe_recall,nested_balanced_accuracy
4,0.3,0,0,197,311,112,2,174,23,0.982456140350877,0.116751269035533,0.549603704693205
6,0.3,0,0,197,311,108,6,176,21,0.947368421052632,0.106598984771574,0.526983702912103
8,0.3,0.133,0,192,311,109,5,167,30,0.956140350877193,0.152284263959391,0.554212307418292
12,0.3,0.185,0,90,311,108,6,108,89,0.947368421052632,0.451776649746193,0.699572535399412
16,0.3,0.207,0,48,311,109,5,72,125,0.956140350877193,0.634517766497462,0.795329058687327
24,0.3,0.154,0,45,311,114,0,48,149,1,0.756345177664975,0.878172588832487
32,0.3,0.159,0,40,311,114,0,36,161,1,0.817258883248731,0.908629441624365
48,0.1,0.236,0,15,311,114,0,29,168,1,0.852791878172589,0.926395939086294
64,0.1,0.247,0,14,311,114,0,29,168,1,0.852791878172589,0.926395939086294
86,0.03,0.213,0,13,311,114,0,29,168,1,0.852791878172589,0.926395939086294
