feature_count,held_out_group,test_count,lambda_ratio,safe_permission_threshold,true_danger,missed_danger,false_danger,true_safe
4,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0,13,0,14,0
4,左转极限.txt|1,30,0.03,0.145,18,2,9,1
4,safe.txt|1,45,0.3,0,0,0,45,0
4,两太阳能板过度.txt|1,25,0.03,0.05,0,0,25,0
4,太阳能板直角边源.txt|1,8,0.3,0,8,0,0,0
4,太阳能板直角边源.txt|2,12,0.3,0,0,0,12,0
4,太阳能板直角边源.txt|3,4,0.3,0,0,0,4,0
4,太阳能板直角边源.txt|4,3,0.03,0.06,3,0,0,0
4,太阳能板直角边源.txt|5,27,0.03,0.171,18,0,0,9
4,太阳能板直角边源.txt|6,35,0.3,0,9,0,26,0
4,太阳能板直角边源.txt|7,25,0.3,0,0,0,25,0
4,太阳能板直角边源.txt|9,47,0.3,0.351,20,0,14,13
4,太阳能板直角边源.txt|10,23,0.3,0,23,0,0,0
6,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0,13,0,14,0
6,左转极限.txt|1,30,0.03,0.121,14,6,3,7
6,safe.txt|1,45,0.3,0,0,0,45,0
6,两太阳能板过度.txt|1,25,0.3,0,0,0,25,0
6,太阳能板直角边源.txt|1,8,0.3,0,8,0,0,0
6,太阳能板直角边源.txt|2,12,0.3,0,0,0,12,0
6,太阳能板直角边源.txt|3,4,0.3,0,0,0,4,0
6,太阳能板直角边源.txt|4,3,0.3,0,3,0,0,0
6,太阳能板直角边源.txt|5,27,0.3,0.172,18,0,8,1
6,太阳能板直角边源.txt|6,35,0.3,0,9,0,26,0
6,太阳能板直角边源.txt|7,25,0.3,0.243,0,0,16,9
6,太阳能板直角边源.txt|9,47,0.03,0.089,20,0,23,4
6,太阳能板直角边源.txt|10,23,0.3,0.132,23,0,0,0
8,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.019,13,0,14,0
8,左转极限.txt|1,30,0.03,0.06,15,5,2,8
8,safe.txt|1,45,0.3,0.155,0,0,45,0
8,两太阳能板过度.txt|1,25,0.3,0.156,0,0,25,0
8,太阳能板直角边源.txt|1,8,0.3,0.144,8,0,0,0
8,太阳能板直角边源.txt|2,12,0.3,0.204,0,0,6,6
8,太阳能板直角边源.txt|3,4,0.3,0.145,0,0,4,0
8,太阳能板直角边源.txt|4,3,0.3,0.206,3,0,0,0
8,太阳能板直角边源.txt|5,27,0.3,0.211,18,0,2,7
8,太阳能板直角边源.txt|6,35,0.3,0,9,0,26,0
8,太阳能板直角边源.txt|7,25,0.3,0.225,0,0,16,9
8,太阳能板直角边源.txt|9,47,0.03,0.048,20,0,27,0
8,太阳能板直角边源.txt|10,23,0.3,0.124,23,0,0,0
12,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.17,13,0,13,1
12,左转极限.txt|1,30,0.3,0.314,14,6,0,10
12,safe.txt|1,45,0.03,0.028,0,0,9,36
12,两太阳能板过度.txt|1,25,0.3,0.198,0,0,13,12
12,太阳能板直角边源.txt|1,8,0.1,0.093,8,0,0,0
12,太阳能板直角边源.txt|2,12,0.3,0.176,0,0,2,10
12,太阳能板直角边源.txt|3,4,0.3,0.188,0,0,4,0
12,太阳能板直角边源.txt|4,3,0.3,0.183,3,0,0,0
12,太阳能板直角边源.txt|5,27,0.3,0.174,18,0,2,7
12,太阳能板直角边源.txt|6,35,0.1,0.065,9,0,25,1
12,太阳能板直角边源.txt|7,25,0.3,0.155,0,0,25,0
12,太阳能板直角边源.txt|9,47,0.03,0.078,20,0,15,12
12,太阳能板直角边源.txt|10,23,0.3,0.156,23,0,0,0
16,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.109,13,0,14,0
16,左转极限.txt|1,30,0.1,0.18,15,5,0,10
16,safe.txt|1,45,0.3,0.157,0,0,3,42
16,两太阳能板过度.txt|1,25,0.3,0.143,0,0,17,8
16,太阳能板直角边源.txt|1,8,0.1,0.079,8,0,0,0
16,太阳能板直角边源.txt|2,12,0.3,0.161,0,0,2,10
16,太阳能板直角边源.txt|3,4,0.1,0.126,0,0,4,0
16,太阳能板直角边源.txt|4,3,0.3,0.159,3,0,0,0
16,太阳能板直角边源.txt|5,27,0.3,0.154,18,0,0,9
16,太阳能板直角边源.txt|6,35,0.3,0.15,9,0,0,26
16,太阳能板直角边源.txt|7,25,0.1,0.093,0,0,9,16
16,太阳能板直角边源.txt|9,47,0.1,0.084,20,0,23,4
16,太阳能板直角边源.txt|10,23,0.3,0.12,23,0,0,0
24,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.206,13,0,7,7
24,左转极限.txt|1,30,0.3,0.134,20,0,0,10
24,safe.txt|1,45,0.3,0.125,0,0,3,42
24,两太阳能板过度.txt|1,25,0.3,0.132,0,0,6,19
24,太阳能板直角边源.txt|1,8,0.3,0.163,8,0,0,0
24,太阳能板直角边源.txt|2,12,0.3,0.173,0,0,2,10
24,太阳能板直角边源.txt|3,4,0.3,0.162,0,0,0,4
24,太阳能板直角边源.txt|4,3,0.3,0.153,3,0,0,0
24,太阳能板直角边源.txt|5,27,0.3,0.141,18,0,0,9
24,太阳能板直角边源.txt|6,35,0.3,0.096,9,0,3,23
24,太阳能板直角边源.txt|7,25,0.1,0.136,0,0,9,16
24,太阳能板直角边源.txt|9,47,0.1,0.063,20,0,18,9
24,太阳能板直角边源.txt|10,23,0.1,0.125,23,0,0,0
32,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.271,13,0,4,10
32,左转极限.txt|1,30,0.03,0.04,20,0,1,9
32,safe.txt|1,45,0.03,0.041,0,0,1,44
32,两太阳能板过度.txt|1,25,0.3,0.164,0,0,3,22
32,太阳能板直角边源.txt|1,8,0.3,0.237,8,0,0,0
32,太阳能板直角边源.txt|2,12,0.3,0.262,0,0,2,10
32,太阳能板直角边源.txt|3,4,0.3,0.156,0,0,0,4
32,太阳能板直角边源.txt|4,3,0.3,0.156,3,0,0,0
32,太阳能板直角边源.txt|5,27,0.3,0.169,18,0,0,9
32,太阳能板直角边源.txt|6,35,0.3,0.145,9,0,1,25
32,太阳能板直角边源.txt|7,25,0.03,0.135,0,0,9,16
32,太阳能板直角边源.txt|9,47,0.3,0.175,20,0,15,12
32,太阳能板直角边源.txt|10,23,0.3,0.259,23,0,0,0
48,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.178,13,0,0,14
48,左转极限.txt|1,30,0.03,0.034,20,0,1,9
48,safe.txt|1,45,0.1,0.209,0,0,0,45
48,两太阳能板过度.txt|1,25,0.1,0.24,0,0,0,25
48,太阳能板直角边源.txt|1,8,0.1,0.196,8,0,0,0
48,太阳能板直角边源.txt|2,12,0.1,0.227,0,0,1,11
