feature_count,held_out_group,test_count,lambda_ratio,safe_permission_threshold,true_danger,missed_danger,false_danger,true_safe
4,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.1,13,0,11,3
4,左转极限.txt|1,30,0.1,0.167,19,1,3,7
4,safe.txt|1,45,0.03,0.162,0,0,3,42
4,两太阳能板过度.txt|1,25,0.3,0.266,0,0,14,11
4,太阳能板直角边源.txt|1,8,0.3,0.241,8,0,0,0
4,太阳能板直角边源.txt|2,12,0.03,0.136,0,0,5,7
4,太阳能板直角边源.txt|3,4,0.03,0.132,0,0,0,4
4,太阳能板直角边源.txt|4,3,0.03,0.129,3,0,0,0
4,太阳能板直角边源.txt|5,27,0.03,0.132,18,0,1,8
4,太阳能板直角边源.txt|6,35,0.03,0.143,9,0,2,24
4,太阳能板直角边源.txt|7,25,0.03,0.154,0,0,0,25
4,太阳能板直角边源.txt|9,47,0.1,0.144,20,0,19,8
4,太阳能板直角边源.txt|10,23,0.3,0,23,0,0,0
6,太阳能板边缘中心旋转扫描.txt|1,27,0.1,0.15,13,0,11,3
6,左转极限.txt|1,30,0.3,0.307,12,8,0,10
6,safe.txt|1,45,0.3,0.178,0,0,45,0
6,两太阳能板过度.txt|1,25,0.3,0.175,0,0,18,7
6,太阳能板直角边源.txt|1,8,0.3,0.165,8,0,0,0
6,太阳能板直角边源.txt|2,12,0.3,0.17,0,0,12,0
6,太阳能板直角边源.txt|3,4,0.3,0.165,0,0,4,0
6,太阳能板直角边源.txt|4,3,0.3,0.161,3,0,0,0
6,太阳能板直角边源.txt|5,27,0.3,0.155,18,0,9,0
6,太阳能板直角边源.txt|6,35,0.3,0.157,9,0,26,0
6,太阳能板直角边源.txt|7,25,0.3,0.171,0,0,25,0
6,太阳能板直角边源.txt|9,47,0.03,0.047,20,0,26,1
6,太阳能板直角边源.txt|10,23,0.3,0.15,23,0,0,0
8,太阳能板边缘中心旋转扫描.txt|1,27,0.1,0.133,13,0,10,4
8,左转极限.txt|1,30,0.1,0.226,12,8,0,10
8,safe.txt|1,45,0.3,0.172,0,0,29,16
8,两太阳能板过度.txt|1,25,0.1,0.089,0,0,13,12
8,太阳能板直角边源.txt|1,8,0.3,0.15,8,0,0,0
8,太阳能板直角边源.txt|2,12,0.3,0.157,0,0,7,5
8,太阳能板直角边源.txt|3,4,0.3,0.155,0,0,4,0
