feature_count,pooled_lambda_ratio,pooled_safe_permission_threshold,pooled_missed_danger,pooled_false_danger,nested_evaluated_count,nested_true_danger,nested_missed_danger,nested_false_danger,nested_true_safe,nested_danger_recall,nested_safe_recall,nested_balanced_accuracy
4,0.3,0,0,197,311,111,3,185,12,0.973684210526316,0.0609137055837563,0.517298958055036
6,0.03,0.046,0,192,311,113,1,158,39,0.991228070175439,0.197969543147208,0.594598806661323
8,0.3,0.133,0,191,311,109,5,188,9,0.956140350877193,0.0456852791878173,0.500912815032505
12,0.3,0.185,0,90,311,107,7,105,92,0.93859649122807,0.467005076142132,0.702800783685101
16,0.3,0.157,0,65,311,109,5,66,131,0.956140350877193,0.66497461928934,0.810557485083267
24,0.3,0.169,0,41,311,111,3,34,163,0.973684210526316,0.82741116751269,0.900547689019503
32,0.3,0.276,0,18,311,114,0,18,179,1,0.908629441624365,0.954314720812183
48,0.1,0.245,0,14,311,114,0,17,180,1,0.913705583756345,0.956852791878173
64,0.1,0.241,0,14,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851
78,0.1,0.245,0,14,311,113,1,13,184,0.991228070175439,0.934010152284264,0.962619111229851
