feature_count,held_out_group,test_count,lambda_ratio,safe_permission_threshold,true_danger,missed_danger,false_danger,true_safe
4,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0,13,0,14,0
4,左转极限.txt|1,30,0.1,0.21,17,3,10,0
4,safe.txt|1,45,0.3,0,0,0,45,0
4,两太阳能板过度.txt|1,25,0.3,0,0,0,25,0
4,太阳能板直角边源.txt|1,8,0.3,0,8,0,0,0
4,太阳能板直角边源.txt|2,12,0.3,0,0,0,12,0
4,太阳能板直角边源.txt|3,4,0.3,0,0,0,4,0
4,太阳能板直角边源.txt|4,3,0.03,0.06,3,0,0,0
4,太阳能板直角边源.txt|5,27,0.03,0.171,18,0,0,9
4,太阳能板直角边源.txt|6,35,0.3,0,9,0,26,0
4,太阳能板直角边源.txt|7,25,0.3,0,0,0,25,0
4,太阳能板直角边源.txt|9,47,0.3,0.253,20,0,24,3
4,太阳能板直角边源.txt|10,23,0.3,0,23,0,0,0
6,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0,13,0,14,0
6,左转极限.txt|1,30,0.03,0.096,19,1,6,4
6,safe.txt|1,45,0.3,0.256,0,0,22,23
6,两太阳能板过度.txt|1,25,0.03,0.045,0,0,25,0
6,太阳能板直角边源.txt|1,8,0.1,0.079,8,0,0,0
6,太阳能板直角边源.txt|2,12,0.03,0.041,0,0,12,0
6,太阳能板直角边源.txt|3,4,0.3,0.214,0,0,4,0
6,太阳能板直角边源.txt|4,3,0.1,0.105,3,0,0,0
6,太阳能板直角边源.txt|5,27,0.3,0.161,18,0,8,1
6,太阳能板直角边源.txt|6,35,0.3,0,9,0,26,0
6,太阳能板直角边源.txt|7,25,0.3,0.243,0,0,16,9
6,太阳能板直角边源.txt|9,47,0.03,0.071,20,0,25,2
6,太阳能板直角边源.txt|10,23,0.3,0.186,23,0,0,0
8,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.019,13,0,14,0
8,左转极限.txt|1,30,0.03,0.06,15,5,2,8
8,safe.txt|1,45,0.3,0,0,0,45,0
8,两太阳能板过度.txt|1,25,0.3,0.156,0,0,25,0
8,太阳能板直角边源.txt|1,8,0.3,0.144,8,0,0,0
8,太阳能板直角边源.txt|2,12,0.3,0.137,0,0,11,1
8,太阳能板直角边源.txt|3,4,0.3,0.145,0,0,4,0
8,太阳能板直角边源.txt|4,3,0.3,0.134,3,0,0,0
8,太阳能板直角边源.txt|5,27,0.3,0.149,18,0,9,0
8,太阳能板直角边源.txt|6,35,0.3,0,9,0,26,0
8,太阳能板直角边源.txt|7,25,0.3,0.165,0,0,25,0
8,太阳能板直角边源.txt|9,47,0.03,0.03,20,0,27,0
8,太阳能板直角边源.txt|10,23,0.3,0.124,23,0,0,0
12,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.192,13,0,10,4
12,左转极限.txt|1,30,0.03,0.13,13,7,0,10
12,safe.txt|1,45,0.1,0.095,0,0,8,37
12,两太阳能板过度.txt|1,25,0.3,0.197,0,0,13,12
12,太阳能板直角边源.txt|1,8,0.1,0.093,8,0,0,0
12,太阳能板直角边源.txt|2,12,0.3,0.191,0,0,2,10
12,太阳能板直角边源.txt|3,4,0.3,0.188,0,0,4,0
12,太阳能板直角边源.txt|4,3,0.1,0.102,3,0,0,0
12,太阳能板直角边源.txt|5,27,0.3,0.175,18,0,2,7
12,太阳能板直角边源.txt|6,35,0.1,0.065,9,0,26,0
12,太阳能板直角边源.txt|7,25,0.3,0.197,0,0,25,0
12,太阳能板直角边源.txt|9,47,0.03,0.069,20,0,15,12
12,太阳能板直角边源.txt|10,23,0.03,0.024,23,0,0,0
16,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.153,13,0,9,5
16,左转极限.txt|1,30,0.03,0.102,15,5,0,10
16,safe.txt|1,45,0.3,0.13,0,0,4,41
16,两太阳能板过度.txt|1,25,0.3,0.183,0,0,6,19
16,太阳能板直角边源.txt|1,8,0.3,0.164,8,0,0,0
16,太阳能板直角边源.txt|2,12,0.3,0.162,0,0,2,10
16,太阳能板直角边源.txt|3,4,0.3,0.16,0,0,4,0
16,太阳能板直角边源.txt|4,3,0.3,0.157,3,0,0,0
16,太阳能板直角边源.txt|5,27,0.3,0.155,18,0,0,9
16,太阳能板直角边源.txt|6,35,0.3,0.112,9,0,15,11
16,太阳能板直角边源.txt|7,25,0.3,0.178,0,0,9,16
16,太阳能板直角边源.txt|9,47,0.03,0.047,20,0,17,10
16,太阳能板直角边源.txt|10,23,0.3,0.125,23,0,0,0
24,太阳能板边缘中心旋转扫描.txt|1,27,0.1,0.103,13,0,9,5
24,左转极限.txt|1,30,0.1,0.134,17,3,0,10
24,safe.txt|1,45,0.3,0.145,0,0,3,42
24,两太阳能板过度.txt|1,25,0.1,0.13,0,0,2,23
24,太阳能板直角边源.txt|1,8,0.03,0.052,8,0,0,0
24,太阳能板直角边源.txt|2,12,0.3,0.225,0,0,2,10
24,太阳能板直角边源.txt|3,4,0.3,0.224,0,0,0,4
24,太阳能板直角边源.txt|4,3,0.3,0.22,3,0,0,0
24,太阳能板直角边源.txt|5,27,0.3,0.2,18,0,0,9
24,太阳能板直角边源.txt|6,35,0.3,0.101,9,0,2,24
24,太阳能板直角边源.txt|7,25,0.1,0.192,0,0,9,16
24,太阳能板直角边源.txt|9,47,0.03,0.113,20,0,7,20
24,太阳能板直角边源.txt|10,23,0.03,0.076,23,0,0,0
32,太阳能板边缘中心旋转扫描.txt|1,27,0.3,0.326,13,0,2,12
32,左转极限.txt|1,30,0.03,0.049,20,0,0,10
32,safe.txt|1,45,0.1,0.233,0,0,0,45
32,两太阳能板过度.txt|1,25,0.1,0.249,0,0,0,25
32,太阳能板直角边源.txt|1,8,0.3,0.242,8,0,0,0
32,太阳能板直角边源.txt|2,12,0.1,0.251,0,0,2,10
32,太阳能板直角边源.txt|3,4,0.3,0.278,0,0,0,4
32,太阳能板直角边源.txt|4,3,0.3,0.274,3,0,0,0
32,太阳能板直角边源.txt|5,27,0.3,0.258,18,0,0,9
32,太阳能板直角边源.txt|6,35,0.3,0.251,9,0,1,25
32,太阳能板直角边源.txt|7,25,0.03,0.126,0,0,9,16
32,太阳能板直角边源.txt|9,47,0.3,0.252,20,0,4,23
32,太阳能板直角边源.txt|10,23,0.3,0.271,23,0,0,0
48,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.202,13,0,0,14
48,左转极限.txt|1,30,0.1,0.106,20,0,0,10
48,safe.txt|1,45,0.1,0.219,0,0,0,45
48,两太阳能板过度.txt|1,25,0.3,0.322,0,0,0,25
48,太阳能板直角边源.txt|1,8,0.3,0.264,8,0,0,0
48,太阳能板直角边源.txt|2,12,0.1,0.253,0,0,1,11
48,太阳能板直角边源.txt|3,4,0.1,0.252,0,0,0,4
48,太阳能板直角边源.txt|4,3,0.1,0.245,3,0,0,0
48,太阳能板直角边源.txt|5,27,0.1,0.248,18,0,0,9
48,太阳能板直角边源.txt|6,35,0.1,0.258,9,0,1,25
48,太阳能板直角边源.txt|7,25,0.03,0.168,0,0,9,16
48,太阳能板直角边源.txt|9,47,0.03,0.143,20,0,6,21
48,太阳能板直角边源.txt|10,23,0.1,0.197,23,0,0,0
64,太阳能板边缘中心旋转扫描.txt|1,27,0.03,0.198,13,0,0,14
64,左转极限.txt|1,30,0.03,0.067,20,0,0,10
64,safe.txt|1,45,0.1,0.238,0,0,0,45
64,两太阳能板过度.txt|1,25,0.1,0.271,0,0,0,25
64,太阳能板直角边源.txt|1,8,0.1,0.213,8,0,0,0
64,太阳能板直角边源.txt|2,12,0.1,0.239,0,0,1,11
64,太阳能板直角边源.txt|3,4,0.1,0.242,0,0,0,4
64,太阳能板直角边源.txt|4,3,0.1,0.24,3,0,0,0
64,太阳能板直角边源.txt|5,27,0.1,0.236,18,0,0,9
64,太阳能板直角边源.txt|6,35,0.1,0.236,9,0,1,25
64,太阳能板直角边源.txt|7,25,0.1,0.233,0,0,9,16
64,太阳能板直角边源.txt|9,47,0.1,0.308,19,1,2,25
64,太阳能板直角边源.txt|10,23,0.1,0.2,23,0,0,0
78,太阳能板边缘中心旋转扫描.txt|1,27,0.1,0.284,13,0,0,14
78,左转极限.txt|1,30,0.03,0.056,20,0,0,10
78,safe.txt|1,45,0.1,0.24,0,0,0,45
78,两太阳能板过度.txt|1,25,0.1,0.275,0,0,0,25
78,太阳能板直角边源.txt|1,8,0.1,0.229,8,0,0,0
78,太阳能板直角边源.txt|2,12,0.1,0.244,0,0,1,11
78,太阳能板直角边源.txt|3,4,0.1,0.244,0,0,0,4
78,太阳能板直角边源.txt|4,3,0.1,0.244,3,0,0,0
78,太阳能板直角边源.txt|5,27,0.1,0.242,18,0,0,9
78,太阳能板直角边源.txt|6,35,0.1,0.245,9,0,1,25
78,太阳能板直角边源.txt|7,25,0.1,0.229,0,0,9,16
78,太阳能板直角边源.txt|9,47,0.1,0.314,19,1,2,25
78,太阳能板直角边源.txt|10,23,0.1,0.218,23,0,0,0
