"source_file","scenario","segment","source_line","frame","intent","ipc_action","d128_left","d128_center","d128_right","average_left","average_center","average_right"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","7","1678","TURN_LEFT_LATCHED","TURN_LEFT","79","73","74","62","85","78"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","30","1707","TURN_LEFT_LATCHED","TURN_LEFT","79","73","74","63","85","79"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","53","1737","TURN_LEFT_LATCHED","TURN_LEFT","79","75","74","61","80","79"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","76","1765","TURN_LEFT_LATCHED","TURN_LEFT","79","77","73","60","78","84"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","99","1793","TURN_LEFT_LATCHED","TURN_LEFT","79","76","73","60","79","83"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","112","1812","RECOVERY","STOP","76","80","73","65","72","84"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","115","1814","TURN_LEFT_LATCHED","TURN_LEFT","77","78","71","65","74","87"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","138","1843","TURN_LEFT_LATCHED","TURN_LEFT","76","79","90","70","69","46"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","141","1846","RECOVERY","STOP","75","84","91","72","62","47"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","146","1851","SAFE","FORWARD","74","87","92","74","51","43"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","169","1881","SAFE","FORWARD","82","84","91","53","57","46"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","190","1906","CAUTION","STOP","86","79","91","44","68","51"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","193","1909","TURN_LEFT_LATCHED","TURN_LEFT","86","78","89","43","67","57"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","198","1915","RECOVERY","STOP","88","81","81","41","66","74"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","203","1920","TURN_LEFT_LATCHED","TURN_LEFT","88","78","71","41","70","96"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","224","1947","RECOVERY","STOP","89","80","28","39","70","195"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","229","1952","SAFE","FORWARD","89","81","19","43","69","210"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","234","1958","CAUTION","STOP","87","77","8","47","73","227"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","237","1961","TURN_LEFT_LATCHED","TURN_LEFT","88","75","5","47","76","230"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","261","1991","TURN_LEFT_LATCHED","TURN_LEFT","91","52","0","45","137","218"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","284","2019","TURN_LEFT_LATCHED","TURN_LEFT","90","15","0","49","216","199"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","307","2048","TURN_LEFT_LATCHED","TURN_LEFT","56","6","0","129","225","209"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","330","2077","TURN_LEFT_LATCHED","TURN_LEFT","20","12","0","208","197","223"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","353","2106","TURN_LEFT_LATCHED","TURN_LEFT","8","13","1","229","167","212"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","374","2134","TURN_LEFT_LATCHED","TURN_LEFT","16","12","4","193","157","186"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","397","2164","TURN_LEFT_LATCHED","TURN_LEFT","14","13","3","174","167","191"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","420","2193","TURN_LEFT_LATCHED","TURN_LEFT","12","15","3","174","184","219"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","443","2221","TURN_LEFT_LATCHED","TURN_LEFT","10","15","2","176","204","245"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","466","2250","TURN_LEFT_LATCHED","TURN_LEFT","10","5","43","183","240","165"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","489","2279","TURN_LEFT_LATCHED","TURN_LEFT","8","23","88","212","198","61"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","508","2304","RECOVERY","STOP","5","83","84","231","69","59"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","514","2311","SAFE","FORWARD","11","91","83","220","51","64"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","536","2339","SAFE","FORWARD","66","90","87","96","43","51"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","559","2368","SAFE","FORWARD","98","89","88","30","47","45"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","582","2397","SAFE","FORWARD","93","93","92","39","39","33"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","605","2425","SAFE","FORWARD","96","92","91","31","41","35"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","628","2455","SAFE","FORWARD","93","90","91","34","39","35"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","650","2483","SAFE","FORWARD","92","90","93","33","42","34"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","672","2512","SAFE","FORWARD","92","89","90","33","43","39"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","695","2541","SAFE","FORWARD","93","89","91","33","44","37"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","718","2570","SAFE","FORWARD","92","89","91","34","44","37"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","741","2599","SAFE","FORWARD","92","88","91","33","43","37"
"太阳能板边缘中心旋转扫描.txt","太阳能板边缘中心旋转扫描","1","764","2627","SAFE","FORWARD","92","88","91","34","44","37"
"左转极限.txt","左转极限","1","3","267","SAFE","FORWARD","94","91","82","37","52","74"
"左转极限.txt","左转极限","1","26","297","SAFE","FORWARD","94","91","82","35","51","74"
"左转极限.txt","左转极限","1","49","326","SAFE","FORWARD","94","91","82","33","50","74"
"左转极限.txt","左转极限","1","72","355","SAFE","FORWARD","96","90","83","30","52","73"
"左转极限.txt","左转极限","1","95","383","SAFE","FORWARD","93","90","93","40","53","51"
"左转极限.txt","左转极限","1","116","412","SAFE","FORWARD","89","93","89","50","50","65"
"左转极限.txt","左转极限","1","139","441","SAFE","FORWARD","87","92","74","54","52","92"
"左转极限.txt","左转极限","1","162","470","SAFE","FORWARD","84","92","43","60","51","154"
"左转极限.txt","左转极限","1","185","498","SAFE","FORWARD","83","91","16","64","55","207"
"左转极限.txt","左转极限","1","208","528","SAFE","FORWARD","84","89","6","70","63","220"
"左转极限.txt","左转极限","1","231","556","CAUTION","STOP","66","75","37","113","87","171"
"左转极限.txt","左转极限","1","234","559","TURN_LEFT_LATCHED","TURN_LEFT","63","77","50","122","89","146"
"左转极限.txt","左转极限","1","256","588","TURN_LEFT_LATCHED","TURN_LEFT","29","72","80","193","93","86"
"左转极限.txt","左转极限","1","278","617","TURN_LEFT_LATCHED","TURN_LEFT","27","60","83","198","129","74"
"左转极限.txt","左转极限","1","301","645","TURN_LEFT_LATCHED","TURN_LEFT","58","19","82","139","213","86"
"左转极限.txt","左转极限","1","324","675","TURN_LEFT_LATCHED","TURN_LEFT","74","22","43","101","205","167"
"左转极限.txt","左转极限","1","347","703","TURN_LEFT_LATCHED","TURN_LEFT","83","57","17","88","132","216"
"左转极限.txt","左转极限","1","370","733","TURN_LEFT_LATCHED","TURN_LEFT","82","69","44","91","105","160"
"左转极限.txt","左转极限","1","392","761","TURN_LEFT_LATCHED","TURN_LEFT","70","69","57","116","105","132"
"左转极限.txt","左转极限","1","414","790","TURN_LEFT_LATCHED","TURN_LEFT","70","69","58","118","106","131"
"左转极限.txt","左转极限","1","437","819","TURN_LEFT_LATCHED","TURN_LEFT","70","69","57","117","106","132"
"左转极限.txt","左转极限","1","460","848","TURN_LEFT_LATCHED","TURN_LEFT","70","69","58","117","105","130"
"左转极限.txt","左转极限","1","483","876","TURN_LEFT_LATCHED","TURN_LEFT","71","72","60","116","103","128"
"左转极限.txt","左转极限","1","506","905","TURN_LEFT_LATCHED","TURN_LEFT","71","77","72","116","89","100"
"左转极限.txt","左转极限","1","509","909","RECOVERY","STOP","70","81","78","117","83","88"
"左转极限.txt","左转极限","1","514","914","SAFE","FORWARD","70","83","81","118","81","80"
"左转极限.txt","左转极限","1","521","922","CAUTION","STOP","66","79","73","124","88","96"
"左转极限.txt","左转极限","1","524","925","TURN_LEFT_LATCHED","TURN_LEFT","65","77","71","128","91","104"
"左转极限.txt","左转极限","1","548","954","TURN_LEFT_LATCHED","TURN_LEFT","65","78","68","126","89","106"
"左转极限.txt","左转极限","1","571","983","TURN_LEFT_LATCHED","TURN_LEFT","63","77","68","130","90","105"
"左转极限.txt","左转极限","1","594","1012","TURN_LEFT_LATCHED","TURN_LEFT","33","23","67","181","208","118"
"左转极限.txt","左转极限","1","617","1041","TURN_LEFT_LATCHED","TURN_LEFT","87","39","23","58","160","208"
"左转极限.txt","左转极限","1","638","1070","TURN_LEFT_LATCHED","TURN_LEFT","77","79","39","75","79","168"
"左转极限.txt","左转极限","1","642","1073","RECOVERY","STOP","76","81","46","77","77","154"
"左转极限.txt","左转极限","1","648","1079","SAFE","FORWARD","74","82","58","82","73","128"
"左转极限.txt","左转极限","1","670","1108","SAFE","FORWARD","96","89","87","36","57","58"
"左转极限.txt","左转极限","1","692","1136","SAFE","FORWARD","54","89","92","117","55","45"
"左转极限.txt","左转极限","1","715","1165","SAFE","FORWARD","90","93","91","57","44","44"
"左转极限.txt","左转极限","1","738","1193","SAFE","FORWARD","85","91","96","62","52","34"
"左转极限.txt","左转极限","1","761","1222","SAFE","FORWARD","86","92","93","60","47","36"
"左转极限.txt","左转极限","1","784","1251","SAFE","FORWARD","86","92","92","60","49","42"
"左转极限.txt","左转极限","1","806","1281","SAFE","FORWARD","86","92","92","61","50","43"
"左转极限.txt","左转极限","1","828","1309","SAFE","FORWARD","86","92","92","60","49","42"
"safe.txt","safe","1","1","903","TURN_LEFT_LATCHED","TURN_LEFT","91","75","94","31","70","22"
"safe.txt","safe","1","23","931","TURN_LEFT_LATCHED","TURN_LEFT","91","75","94","31","70","22"
"safe.txt","safe","1","47","961","TURN_LEFT_LATCHED","TURN_LEFT","92","75","94","31","70","22"
"safe.txt","safe","1","70","989","TURN_LEFT_LATCHED","TURN_LEFT","91","75","94","31","70","22"
"safe.txt","safe","1","93","1018","TURN_LEFT_LATCHED","TURN_LEFT","92","75","94","31","70","22"
